Transaction Id,Customer Id,Customer Age,Gender,Annual Income,Region,Product Category,Purchase Quantity,Unit Price,Discount Applied,Transaction Date,Payment Method
TXN-200014,CUST-5088,56.0,Male,52344.73,North Zone,Apparel & Fashion,3,111.32,0.05,2025-01-01 08:14,NetBanking
TXN-200015,CUST-5373,43.0,Male,71377.23,East Zone,Home Electronics,4,279.96,0.25,2025-01-01 08:15,Credit Card
TXN-200016,CUST-5100,63.0,Male,59652.71,South Zone,Beauty & Health,4,482.64,0.0,2025-01-01 08:16,NetBanking
TXN-200017,CUST-5872,75.0,Female,,North Zone,Apparel & Fashion,7,749.91,0.0,2025-01-01 08:17,Credit Card
TXN-200018,CUST-5664,67.0,Female,47934.62,East Zone,Electronics,4,673.6,0.1,2025-01-01 08:18,Credit Card
TXN-200019,CUST-5131,32.0,Male,97750.5,South Zone,Books & Media,7,472.79,0.0,2025-01-01 08:19,Credit Card
TXN-200020,CUST-5662,51.0,Other,70205.19,South Zone,Home Electronics,6,67.88,0.1,2025-01-01 08:20,NetBanking
TXN-200021,CUST-5309,59.0,Female,30510.62,South Zone,Electronics,6,246.95,0.0,2025-01-01 08:21,NetBanking
TXN-200022,CUST-5770,72.0,Male,72189.57,East Zone,Beauty & Health,2,315.19,0.0,2025-01-01 08:22,Credit Card
TXN-200023,CUST-5344,61.0,Male,58398.48,South Zone,Books & Media,6,530.54,0.0,2025-01-01 08:23,NetBanking
TXN-200024,CUST-5492,66.0,Female,62085.12,East Zone,Beauty & Health,6,60.33,0.25,2025-01-01 08:24,Credit Card
TXN-200025,CUST-5414,57.0,Female,77167.93,West Zone,Beauty & Health,1,453.25,0.1,2025-01-01 08:25,NetBanking
TXN-200026,CUST-5806,28.0,Female,,South Zone,Books & Media,2,766.79,0.0,2025-01-01 08:26,UPI Payment
TXN-200027,CUST-5386,78.0,Male,46111.96,West Zone,Books & Media,1,601.24,0.05,2025-01-01 08:27,NetBanking
TXN-200028,CUST-5192,20.0,Male,61449.78,North Zone,Beauty & Health,3,678.63,0.05,2025-01-01 08:28,NetBanking
TXN-200029,CUST-5956,76.0,Male,51896.95,South Zone,Home Electronics,7,581.18,0.05,2025-01-01 08:29,NetBanking
TXN-200030,CUST-5277,23.0,Male,73041.95,North Zone,Books & Media,7,179.96,0.1,2025-01-01 08:30,Credit Card
TXN-200031,CUST-5161,26.0,Male,57702.37,North Zone,Electronics,3,98.8,0.0,2025-01-01 08:31,Credit Card
TXN-200032,CUST-5460,23.0,Male,62541.15,North Zone,Apparel & Fashion,7,706.0,0.0,2025-01-01 08:32,UPI Payment
TXN-200033,CUST-5314,26.0,Female,56999.88,West Zone,Home Electronics,2,592.85,0.25,2025-01-01 08:33,UPI Payment
TXN-200034,CUST-5022,56.0,Female,60036.79,East Zone,Books & Media,2,491.14,0.25,2025-01-01 08:34,Digital Wallet
TXN-200035,CUST-5253,48.0,Male,93536.04,West Zone,Books & Media,6,165.35,0.0,2025-01-01 08:35,UPI Payment
TXN-200036,CUST-5748,49.0,Female,106229.17,West Zone,Home Electronics,7,515.02,0.0,2025-01-01 08:36,Credit Card
TXN-200037,CUST-5857,58.0,Male,68976.2,North Zone,Apparel & Fashion,3,31.95,0.25,2025-01-01 08:37,UPI Payment
TXN-200038,CUST-5561,67.0,Female,60150.56,South Zone,Beauty & Health,5,105.86,0.0,2025-01-01 08:38,UPI Payment
TXN-200039,CUST-5475,29.0,Male,32480.72,East Zone,Electronics,4,268.89,0.05,2025-01-01 08:39,NetBanking
TXN-200040,CUST-5059,25.0,Female,47932.26,North Zone,Books & Media,6,380.24,0.0,2025-01-01 08:40,UPI Payment
TXN-200041,CUST-5511,25.0,Other,59655.38,East Zone,Apparel & Fashion,4,107.32,0.1,2025-01-01 08:41,Digital Wallet
TXN-200042,CUST-5682,67.0,Female,48771.33,West Zone,Electronics,3,106.79,0.0,2025-01-01 08:42,NetBanking
TXN-200043,CUST-5476,45.0,Male,50716.84,East Zone,Home Electronics,7,618.52,0.0,2025-01-01 08:43,Credit Card
TXN-200044,CUST-5700,79.0,Female,91144.71,East Zone,Books & Media,7,486.63,0.0,2025-01-01 08:44,Digital Wallet
TXN-200045,CUST-5976,37.0,Male,62532.63,South Zone,Beauty & Health,4,456.25,0.25,2025-01-01 08:45,Credit Card
TXN-200046,CUST-5783,79.0,Female,64186.92,North Zone,Home Electronics,5,387.58,0.05,2025-01-01 08:46,Digital Wallet
TXN-200047,CUST-5190,64.0,Female,49527.47,East Zone,Books & Media,7,830.19,0.1,2025-01-01 08:47,NetBanking
TXN-200048,CUST-5958,76.0,Male,83784.58,East Zone,Apparel & Fashion,5,47.56,0.0,2025-01-01 08:48,Digital Wallet
TXN-200049,CUST-5687,80.0,Female,58067.3,West Zone,Electronics,1,158.04,0.25,2025-01-01 08:49,Digital Wallet
TXN-200050,CUST-5958,24.0,Female,52364.02,West Zone,Electronics,2,552.32,0.1,2025-01-01 08:50,UPI Payment
TXN-200051,CUST-5563,28.0,Male,32756.11,East Zone,Books & Media,4,120.66,0.1,2025-01-01 08:51,Credit Card
TXN-200052,CUST-5876,37.0,Female,60869.61,North Zone,Home Electronics,7,503.23,0.25,2025-01-01 08:52,NetBanking
TXN-200053,CUST-5567,33.0,Male,51786.93,East Zone,Beauty & Health,5,484.97,0.0,2025-01-01 08:53,Digital Wallet
TXN-200054,CUST-5244,21.0,Female,93164.73,East Zone,Apparel & Fashion,7,825.51,0.05,2025-01-01 08:54,Credit Card
TXN-200055,CUST-5832,23.0,Female,96112.13,South Zone,Books & Media,2,751.52,0.25,2025-01-01 08:55,Credit Card
TXN-200056,CUST-5505,75.0,Female,39147.31,North Zone,Apparel & Fashion,2,804.02,0.1,2025-01-01 08:56,UPI Payment
TXN-200057,CUST-5131,39.0,Female,41240.17,South Zone,Electronics,1,101.44,0.05,2025-01-01 08:57,Credit Card
TXN-200058,CUST-5485,43.0,Female,56888.09,North Zone,Beauty & Health,2,738.65,0.0,2025-01-01 08:58,NetBanking
TXN-200059,CUST-5819,80.0,Male,46903.3,North Zone,Apparel & Fashion,2,114.52,0.05,2025-01-01 08:59,UPI Payment
TXN-200060,CUST-5647,20.0,Female,66022.21,North Zone,Books & Media,6,540.01,0.0,2025-01-01 09:00,Digital Wallet
TXN-200061,CUST-5021,80.0,Male,55957.47,South Zone,Beauty & Health,3,613.61,0.0,2025-01-01 09:01,NetBanking
TXN-200062,CUST-5841,58.0,Female,67189.85,South Zone,Home Electronics,7,141.34,0.1,2025-01-01 09:02,NetBanking
TXN-200063,CUST-5167,77.0,Male,80797.73,South Zone,Books & Media,1,539.78,0.0,2025-01-01 09:03,NetBanking
TXN-200064,CUST-5274,59.0,Male,42311.9,West Zone,Apparel & Fashion,1,49.8,0.0,2025-01-01 09:04,UPI Payment
TXN-200065,CUST-5388,31.0,Female,80411.41,South Zone,Beauty & Health,4,253.16,0.05,2025-01-01 09:05,Credit Card
TXN-200066,CUST-5601,28.0,Male,48519.93,West Zone,Books & Media,2,783.42,0.0,2025-01-01 09:06,NetBanking
TXN-200067,CUST-5316,35.0,Female,101746.93,West Zone,Beauty & Health,4,150.53,0.0,2025-01-01 09:07,Credit Card
TXN-200068,CUST-5014,71.0,Male,91988.06,West Zone,Beauty & Health,6,60.62,0.0,2025-01-01 09:08,Credit Card
TXN-200069,CUST-5242,29.0,Male,59908.01,East Zone,Beauty & Health,5,380.19,0.0,2025-01-01 09:09,NetBanking
TXN-200070,CUST-5777,40.0,Female,44173.71,East Zone,Apparel & Fashion,2,723.85,0.0,2025-01-01 09:10,Credit Card
TXN-200071,CUST-5346,29.0,Male,40634.98,East Zone,Books & Media,5,70.25,0.0,2025-01-01 09:11,UPI Payment
TXN-200072,CUST-5565,30.0,Male,78162.13,West Zone,Electronics,3,305.75,0.0,2025-01-01 09:12,UPI Payment
TXN-200073,CUST-5898,42.0,Female,61437.55,West Zone,Electronics,6,765.36,0.0,2025-01-01 09:13,Digital Wallet
TXN-200074,CUST-5340,62.0,Male,79147.04,North Zone,Apparel & Fashion,2,105.28,0.0,2025-01-01 09:14,Credit Card
TXN-200075,CUST-5092,68.0,Female,102778.24,West Zone,Apparel & Fashion,4,267.86,0.25,2025-01-01 09:15,Credit Card
TXN-200076,CUST-5367,75.0,Male,47747.92,East Zone,Beauty & Health,4,662.88,0.0,2025-01-01 09:16,Digital Wallet
TXN-200077,CUST-5956,36.0,Male,39242.44,West Zone,Books & Media,2,464.24,0.05,2025-01-01 09:17,UPI Payment
TXN-200078,CUST-5455,72.0,Female,65562.36,West Zone,Books & Media,7,708.41,0.0,2025-01-01 09:18,Digital Wallet
TXN-200079,CUST-5428,63.0,Male,295000.0,North Zone,Home Electronics,4,99.74,0.1,2025-01-01 09:19,Digital Wallet
TXN-200080,CUST-5509,53.0,Male,44601.48,West Zone,Home Electronics,7,782.91,0.05,2025-01-01 09:20,Digital Wallet
TXN-200081,CUST-5776,62.0,Male,62640.56,South Zone,Electronics,2,795.03,0.0,2025-01-01 09:21,Credit Card
TXN-200082,CUST-5943,25.0,Male,87345.81,North Zone,Home Electronics,1,136.66,0.0,2025-01-01 09:22,Credit Card
TXN-200083,CUST-5035,,Female,31791.76,West Zone,Home Electronics,4,34.11,0.0,2025-01-01 09:23,Credit Card
TXN-200084,CUST-5206,72.0,Male,66353.38,West Zone,Electronics,7,841.42,0.05,2025-01-01 09:24,Credit Card
TXN-200085,CUST-5081,70.0,Female,52008.09,North Zone,Electronics,2,412.76,0.0,2025-01-01 09:25,NetBanking
TXN-200086,CUST-5932,72.0,Female,64296.9,West Zone,Home Electronics,2,488.62,0.1,2025-01-01 09:26,Digital Wallet
TXN-200087,CUST-5562,49.0,Male,75131.01,East Zone,Books & Media,7,525.63,0.0,2025-01-01 09:27,Digital Wallet
TXN-200088,CUST-5872,68.0,Female,66084.96,South Zone,Home Electronics,4,672.38,0.0,2025-01-01 09:28,Credit Card
TXN-200089,CUST-5388,61.0,Male,43310.89,South Zone,Beauty & Health,1,691.22,0.05,2025-01-01 09:29,UPI Payment
TXN-200090,CUST-5002,35.0,Other,52726.95,East Zone,Beauty & Health,4,169.27,0.1,2025-01-01 09:30,NetBanking
TXN-200091,CUST-5390,23.0,Male,88391.97,West Zone,Beauty & Health,2,205.34,0.0,2025-01-01 09:31,NetBanking
TXN-200092,CUST-5566,35.0,Female,68085.26,West Zone,Apparel & Fashion,1,745.99,0.05,2025-01-01 09:32,UPI Payment
TXN-200093,CUST-5106,36.0,Female,77545.9,South Zone,Beauty & Health,5,697.58,0.0,2025-01-01 09:33,Credit Card
TXN-200094,CUST-5772,39.0,Male,66630.46,West Zone,Books & Media,3,527.08,0.05,2025-01-01 09:34,NetBanking
TXN-200095,CUST-5822,54.0,Female,76968.65,South Zone,Apparel & Fashion,4,845.52,0.1,2025-01-01 09:35,NetBanking
TXN-200096,CUST-5477,49.0,Female,54671.3,South Zone,Apparel & Fashion,6,626.36,0.1,2025-01-01 09:36,Digital Wallet
TXN-200097,CUST-5703,73.0,Male,47801.03,East Zone,Beauty & Health,2,187.77,0.0,2025-01-01 09:37,Digital Wallet
TXN-200098,CUST-5402,58.0,Male,76128.41,South Zone,Home Electronics,1,720.49,0.0,2025-01-01 09:38,Credit Card
TXN-200099,CUST-5730,76.0,Female,82856.42,West Zone,Electronics,7,355.74,0.05,2025-01-01 09:39,Credit Card
TXN-200100,CUST-5556,20.0,Female,45085.8,West Zone,Home Electronics,7,36.03,0.0,2025-01-01 09:40,Digital Wallet
TXN-200101,CUST-5162,45.0,Other,51345.02,North Zone,Home Electronics,7,276.94,0.05,2025-01-01 09:41,Digital Wallet
TXN-200102,CUST-5202,27.0,Female,58980.31,West Zone,Apparel & Fashion,1,650.32,0.0,2025-01-01 09:42,Digital Wallet
TXN-200103,CUST-5958,68.0,Other,91966.76,North Zone,Apparel & Fashion,5,816.39,0.0,2025-01-01 09:43,UPI Payment
TXN-200104,CUST-5996,52.0,Female,72418.01,South Zone,Apparel & Fashion,4,238.7,0.1,2025-01-01 09:44,NetBanking
TXN-200105,CUST-5270,78.0,Male,37504.39,West Zone,Books & Media,6,213.68,0.0,2025-01-01 09:45,Credit Card
TXN-200106,CUST-5863,46.0,Male,60279.82,East Zone,Books & Media,7,481.47,0.25,2025-01-01 09:46,Credit Card
TXN-200107,CUST-5816,71.0,Female,,East Zone,Electronics,1,690.97,0.1,2025-01-01 09:47,UPI Payment
TXN-200108,CUST-5271,80.0,Female,40294.51,East Zone,Apparel & Fashion,7,635.94,0.05,2025-01-01 09:48,Digital Wallet
TXN-200109,CUST-5456,32.0,Male,60061.35,South Zone,Beauty & Health,5,478.39,0.0,2025-01-01 09:49,NetBanking
TXN-200110,CUST-5462,,Male,56634.31,South Zone,Apparel & Fashion,2,538.71,0.25,2025-01-01 09:50,Digital Wallet
TXN-200111,CUST-5727,24.0,Other,55309.8,North Zone,Books & Media,7,209.95,0.1,2025-01-01 09:51,Credit Card
TXN-200112,CUST-5252,29.0,Female,54463.44,East Zone,Apparel & Fashion,5,370.81,0.0,2025-01-01 09:52,UPI Payment
TXN-200113,CUST-5702,66.0,Male,89220.78,North Zone,Books & Media,4,221.16,0.0,2025-01-01 09:53,NetBanking
TXN-200114,CUST-5296,47.0,Male,55271.49,North Zone,Apparel & Fashion,7,752.39,0.0,2025-01-01 09:54,NetBanking
TXN-200115,CUST-5725,38.0,Male,62918.91,West Zone,Beauty & Health,5,100.55,0.25,2025-01-01 09:55,NetBanking
TXN-200116,CUST-5720,48.0,Male,60912.85,West Zone,Electronics,1,579.54,0.1,2025-01-01 09:56,NetBanking
TXN-200117,CUST-5749,75.0,Male,52657.19,East Zone,Beauty & Health,1,225.31,0.25,2025-01-01 09:57,UPI Payment
TXN-200118,CUST-5338,78.0,Male,63470.84,South Zone,Books & Media,3,407.13,0.1,2025-01-01 09:58,Credit Card
TXN-200119,CUST-5879,41.0,Female,63208.99,West Zone,Home Electronics,5,258.35,0.0,2025-01-01 09:59,NetBanking
TXN-200120,CUST-5053,37.0,Male,63475.5,South Zone,Beauty & Health,2,278.48,0.0,2025-01-01 10:00,NetBanking
TXN-200121,CUST-5792,54.0,Female,46104.19,North Zone,Apparel & Fashion,7,225.4,0.0,2025-01-01 10:01,Credit Card
TXN-200122,CUST-5922,21.0,Female,58186.7,North Zone,Electronics,6,641.23,0.0,2025-01-01 10:02,Digital Wallet
TXN-200123,CUST-5217,45.0,Male,76065.95,North Zone,Apparel & Fashion,6,314.35,0.0,2025-01-01 10:03,NetBanking
TXN-200124,CUST-5764,61.0,Female,58673.39,North Zone,Apparel & Fashion,4,618.91,0.25,2025-01-01 10:04,NetBanking
TXN-200125,CUST-5188,79.0,Female,,East Zone,Beauty & Health,3,390.65,0.25,2025-01-01 10:05,Digital Wallet
TXN-200126,CUST-5380,37.0,Female,65090.18,North Zone,Electronics,5,467.65,0.0,2025-01-01 10:06,Credit Card
TXN-200127,CUST-5493,77.0,Male,69721.81,West Zone,Home Electronics,2,464.31,0.05,2025-01-01 10:07,Credit Card
TXN-200128,CUST-5041,41.0,Female,72335.04,North Zone,Apparel & Fashion,3,829.61,0.05,2025-01-01 10:08,NetBanking
TXN-200129,CUST-5157,67.0,Female,58778.21,South Zone,Electronics,1,315.48,0.0,2025-01-01 10:09,Credit Card
TXN-200130,CUST-5015,66.0,Male,45140.3,West Zone,Home Electronics,4,180.89,0.05,2025-01-01 10:10,Digital Wallet
TXN-200131,CUST-5813,68.0,Male,39453.77,South Zone,Apparel & Fashion,7,775.51,0.0,2025-01-01 10:11,UPI Payment
TXN-200132,CUST-5065,49.0,Female,80827.2,South Zone,Electronics,7,153.15,0.25,2025-01-01 10:12,Digital Wallet
TXN-200133,CUST-5857,58.0,Female,76249.63,East Zone,Beauty & Health,7,710.17,0.05,2025-01-01 10:13,Digital Wallet
TXN-200134,CUST-5839,53.0,Male,74013.25,East Zone,Apparel & Fashion,5,132.36,0.1,2025-01-01 10:14,UPI Payment
TXN-200135,CUST-5521,75.0,Female,77007.27,South Zone,Apparel & Fashion,6,561.79,0.0,2025-01-01 10:15,Digital Wallet
TXN-200136,CUST-5344,70.0,Male,59011.21,South Zone,Electronics,2,132.63,0.0,2025-01-01 10:16,NetBanking
TXN-200137,CUST-5129,51.0,Female,50439.79,North Zone,Apparel & Fashion,7,785.05,0.0,2025-01-01 10:17,NetBanking
TXN-200138,CUST-5648,81.0,Male,43862.46,West Zone,Home Electronics,7,482.65,0.1,2025-01-01 10:18,Credit Card
TXN-200139,CUST-5472,53.0,Female,41847.03,North Zone,Apparel & Fashion,1,283.57,0.25,2025-01-01 10:19,Credit Card
TXN-200140,CUST-5063,,Male,84424.94,East Zone,Books & Media,3,124.0,0.0,2025-01-01 10:20,Digital Wallet
TXN-200141,CUST-5139,32.0,Male,52876.82,East Zone,Home Electronics,7,318.97,0.1,2025-01-01 10:21,NetBanking
TXN-200142,CUST-5499,51.0,Male,81514.89,North Zone,Electronics,4,600.89,0.0,2025-01-01 10:22,NetBanking
TXN-200143,CUST-5593,53.0,Male,58542.61,West Zone,Home Electronics,3,330.59,0.0,2025-01-01 10:23,UPI Payment
TXN-200144,CUST-5392,23.0,Female,49489.54,South Zone,Books & Media,6,213.33,0.05,2025-01-01 10:24,Credit Card
TXN-200145,CUST-5675,56.0,Male,41754.25,North Zone,Books & Media,3,493.12,0.1,2025-01-01 10:25,NetBanking
TXN-200146,CUST-5419,59.0,Female,51119.14,East Zone,Apparel & Fashion,2,358.35,0.0,2025-01-01 10:26,Digital Wallet
TXN-200147,CUST-5289,68.0,Male,88237.42,West Zone,Apparel & Fashion,1,145.52,0.0,2025-01-01 10:27,NetBanking
TXN-200148,CUST-5379,68.0,Male,41942.11,East Zone,Beauty & Health,5,135.54,0.0,2025-01-01 10:28,Credit Card
TXN-200149,CUST-5773,75.0,Male,101159.82,West Zone,Home Electronics,2,602.95,0.0,2025-01-01 10:29,Digital Wallet
TXN-200150,CUST-5490,71.0,Male,46448.76,West Zone,Beauty & Health,6,828.61,0.25,2025-01-01 10:30,Credit Card
TXN-200151,CUST-5231,78.0,Male,75874.07,West Zone,Books & Media,4,202.35,0.05,2025-01-01 10:31,NetBanking
TXN-200152,CUST-5041,29.0,Male,59312.85,North Zone,Apparel & Fashion,6,658.42,0.0,2025-01-01 10:32,NetBanking
TXN-200153,CUST-5028,20.0,Female,56069.65,North Zone,Apparel & Fashion,6,79.48,0.0,2025-01-01 10:33,NetBanking
TXN-200154,CUST-5135,62.0,Male,38478.72,North Zone,Apparel & Fashion,3,327.74,0.25,2025-01-01 10:34,Credit Card
TXN-200155,CUST-5201,35.0,Female,60179.73,West Zone,Electronics,4,433.4,0.05,2025-01-01 10:35,Digital Wallet
TXN-200156,CUST-5840,57.0,Female,,West Zone,Books & Media,2,232.46,0.05,2025-01-01 10:36,NetBanking
TXN-200157,CUST-5780,38.0,Male,30890.82,East Zone,Apparel & Fashion,6,452.73,0.0,2025-01-01 10:37,NetBanking
TXN-200158,CUST-5930,32.0,Female,64212.58,South Zone,Books & Media,2,750.87,0.1,2025-01-01 10:38,NetBanking
TXN-200159,CUST-5033,50.0,Other,50244.67,North Zone,Apparel & Fashion,7,803.08,0.0,2025-01-01 10:39,UPI Payment
TXN-200160,CUST-5048,52.0,Female,93160.45,West Zone,Home Electronics,7,90.42,0.05,2025-01-01 10:40,UPI Payment
TXN-200161,CUST-5503,43.0,Female,80500.4,East Zone,Books & Media,7,235.07,0.25,2025-01-01 10:41,Digital Wallet
TXN-200162,CUST-5407,25.0,Male,93402.5,East Zone,Beauty & Health,5,832.38,0.0,2025-01-01 10:42,Credit Card
TXN-200163,CUST-5574,53.0,Female,49403.67,East Zone,Electronics,3,233.87,0.0,2025-01-01 10:43,NetBanking
TXN-200164,CUST-5728,65.0,Female,64518.55,North Zone,Beauty & Health,2,590.49,0.0,2025-01-01 10:44,NetBanking
TXN-200165,CUST-5805,47.0,Female,13517.59,North Zone,Books & Media,7,219.54,0.0,2025-01-01 10:45,Credit Card
TXN-200166,CUST-5099,40.0,Other,56786.66,South Zone,Apparel & Fashion,7,306.45,0.0,2025-01-01 10:46,Credit Card
TXN-200167,CUST-5684,59.0,Male,63822.22,East Zone,Books & Media,4,167.04,0.25,2025-01-01 10:47,Digital Wallet
TXN-200168,CUST-5872,61.0,Male,64849.89,North Zone,Electronics,6,728.65,0.0,2025-01-01 10:48,Credit Card
TXN-200169,CUST-5726,31.0,Female,61216.18,East Zone,Books & Media,7,750.9,0.05,2025-01-01 10:49,NetBanking
TXN-200170,CUST-5987,31.0,Female,63231.96,West Zone,Apparel & Fashion,5,256.24,0.1,2025-01-01 10:50,Digital Wallet
TXN-200171,CUST-5547,19.0,Male,11805.01,East Zone,Beauty & Health,4,701.02,0.25,2025-01-01 10:51,UPI Payment
TXN-200172,CUST-5961,72.0,Male,66740.1,South Zone,Home Electronics,3,308.04,0.0,2025-01-01 10:52,Digital Wallet
TXN-200173,CUST-5739,54.0,Male,70943.64,North Zone,Beauty & Health,5,89.12,0.0,2025-01-01 10:53,Digital Wallet
TXN-200174,CUST-5613,22.0,Male,86753.47,West Zone,Apparel & Fashion,5,645.7,0.0,2025-01-01 10:54,Digital Wallet
TXN-200175,CUST-5943,,Female,68821.65,North Zone,Apparel & Fashion,5,509.2,0.0,2025-01-01 10:55,Credit Card
TXN-200176,CUST-5462,62.0,Female,59581.36,West Zone,Electronics,6,237.22,0.05,2025-01-01 10:56,NetBanking
TXN-200177,CUST-5643,58.0,Male,82441.43,East Zone,Books & Media,7,219.16,0.0,2025-01-01 10:57,Credit Card
TXN-200178,CUST-5769,79.0,Male,18389.32,East Zone,Books & Media,1,829.41,0.0,2025-01-01 10:58,NetBanking
TXN-200179,CUST-5005,71.0,Male,52473.45,South Zone,Beauty & Health,5,733.88,0.0,2025-01-01 10:59,Credit Card
TXN-200180,CUST-5218,77.0,Male,47832.52,South Zone,Home Electronics,4,689.37,0.05,2025-01-01 11:00,Digital Wallet
TXN-200181,CUST-5503,78.0,Female,61361.35,West Zone,Home Electronics,4,113.61,0.0,2025-01-01 11:01,NetBanking
TXN-200182,CUST-5767,64.0,Other,21324.18,South Zone,Electronics,3,643.26,0.0,2025-01-01 11:02,Credit Card
TXN-200183,CUST-5398,31.0,Female,86413.26,South Zone,Apparel & Fashion,2,186.68,0.0,2025-01-01 11:03,Digital Wallet
TXN-200184,CUST-5871,73.0,Male,57378.52,South Zone,Electronics,2,830.9,0.05,2025-01-01 11:04,UPI Payment
TXN-200185,CUST-5795,56.0,Female,67897.74,South Zone,Books & Media,1,49.49,0.05,2025-01-01 11:05,Credit Card
TXN-200186,CUST-5393,42.0,Female,66127.19,East Zone,Apparel & Fashion,6,302.88,0.0,2025-01-01 11:06,Credit Card
TXN-200187,CUST-5207,37.0,Female,85356.06,South Zone,Electronics,7,367.49,0.1,2025-01-01 11:07,UPI Payment
TXN-200188,CUST-5015,19.0,Male,27553.92,East Zone,Beauty & Health,6,701.54,0.0,2025-01-01 11:08,Credit Card
TXN-200189,CUST-5858,56.0,Male,64077.94,East Zone,Books & Media,7,652.58,0.0,2025-01-01 11:09,UPI Payment
TXN-200190,CUST-5554,23.0,Male,83204.3,North Zone,Home Electronics,5,322.18,0.0,2025-01-01 11:10,NetBanking
TXN-200191,CUST-5892,34.0,Male,60187.25,East Zone,Electronics,7,483.12,0.0,2025-01-01 11:11,UPI Payment
TXN-200192,CUST-5461,76.0,Male,44401.52,East Zone,Books & Media,1,711.16,0.05,2025-01-01 11:12,Digital Wallet
TXN-200193,CUST-5691,42.0,Male,50828.03,South Zone,Books & Media,3,20.87,0.0,2025-01-01 11:13,UPI Payment
TXN-200194,CUST-5575,74.0,Female,54730.57,East Zone,Home Electronics,3,682.94,0.05,2025-01-01 11:14,NetBanking
TXN-200195,CUST-5864,45.0,Female,,West Zone,Home Electronics,2,805.15,0.0,2025-01-01 11:15,UPI Payment
TXN-200196,CUST-5743,19.0,Female,59172.99,South Zone,Home Electronics,3,32.58,0.25,2025-01-01 11:16,UPI Payment
TXN-200197,CUST-5241,52.0,Male,89902.58,South Zone,Electronics,5,43.99,0.05,2025-01-01 11:17,NetBanking
TXN-200198,CUST-5564,54.0,Other,50948.75,South Zone,Home Electronics,4,296.44,0.05,2025-01-01 11:18,Credit Card
TXN-200199,CUST-5096,22.0,Female,52978.03,North Zone,Beauty & Health,3,79.62,0.05,2025-01-01 11:19,Credit Card
TXN-200200,CUST-5900,80.0,Female,70505.94,South Zone,Books & Media,1,410.25,0.25,2025-01-01 11:20,Digital Wallet
TXN-200201,CUST-5734,18.0,Other,58765.82,East Zone,Home Electronics,5,620.9,0.25,2025-01-01 11:21,Digital Wallet
TXN-200202,CUST-5485,,Female,37410.08,West Zone,Books & Media,3,484.25,0.0,2025-01-01 11:22,UPI Payment
TXN-200203,CUST-5407,29.0,Other,295000.0,South Zone,Apparel & Fashion,6,171.39,0.0,2025-01-01 11:23,Credit Card
TXN-200204,CUST-5231,73.0,Male,60170.51,South Zone,Apparel & Fashion,7,558.49,0.0,2025-01-01 11:24,Credit Card
TXN-200205,CUST-5749,53.0,Male,80050.05,West Zone,Home Electronics,3,583.86,0.0,2025-01-01 11:25,UPI Payment
TXN-200206,CUST-5655,62.0,Male,44015.18,South Zone,Books & Media,6,792.95,0.0,2025-01-01 11:26,NetBanking
TXN-200207,CUST-5171,40.0,Male,80172.91,North Zone,Apparel & Fashion,5,129.47,0.0,2025-01-01 11:27,Credit Card
TXN-200208,CUST-5541,64.0,Male,60190.13,East Zone,Home Electronics,3,590.18,0.25,2025-01-01 11:28,Digital Wallet
TXN-200209,CUST-5036,48.0,Female,41503.08,West Zone,Books & Media,6,775.2,0.0,2025-01-01 11:29,UPI Payment
